Seasons,H,WAR,ERA,K/9,H/9,ER,HBP,K-BB%,Contact%,FB%
11,417,11.7,3.14,11.13,6.85,191,7,0.192,0.685,0.364
7,864,11.6,3.87,7.32,8.24,406,28,0.126,0.7659999999999999,0.42100000000000004
11,1125,11.5,4.29,7.87,8.09,596,26,0.134,0.779,0.495
8,1090,11.5,4.18,7.15,9.21,495,25,0.128,0.823,0.401
2,421,11.5,3.24,7.3,8.11,168,18,0.124,0.784,0.204
8,1181,11.4,4.27,6.58,9.22,547,54,0.091,0.838,0.392
10,1180,11.4,4.1,6.78,8.88,545,39,0.09,0.82,0.319
8,429,11.4,3.0,10.93,7.1,181,22,0.228,0.696,0.37200000000000005
9,354,11.4,3.2,10.42,7.07,160,8,0.233,0.759,0.527
6,880,11.3,4.27,6.96,9.56,393,39,0.099,0.809,0.32299999999999995
6,240,11.2,2.53,14.45,5.48,111,28,0.27899999999999997,0.6629999999999999,0.313
9,1119,11.0,4.07,7.78,8.75,521,49,0.135,0.8109999999999999,0.39399999999999996
10,1220,11.0,4.45,8.5,8.99,604,56,0.126,0.777,0.37200000000000005
9,903,10.9,4.1,8.79,8.61,430,16,0.159,0.769,0.433
11,786,10.9,3.91,9.26,8.24,373,23,0.14,0.778,0.361
8,389,10.9,3.41,9.68,7.67,173,0,0.209,0.757,0.509
10,464,10.8,3.17,8.77,8.05,183,19,0.159,0.78,0.31
10,1206,10.7,4.13,6.59,8.55,583,45,0.102,0.7929999999999999,0.395
12,719,10.7,3.81,8.54,8.2,334,35,0.149,0.759,0.401
9,840,10.7,4.04,8.12,8.36,406,45,0.111,0.762,0.256
13,1447,10.6,4.26,6.87,8.64,713,63,0.083,0.787,0.273
8,1020,10.6,5.0,6.11,10.53,484,28,0.094,0.813,0.344
5,536,10.5,3.82,10.47,8.16,251,15,0.191,0.7440000000000001,0.37799999999999995
9,817,10.4,3.89,8.08,8.19,388,43,0.138,0.794,0.36700000000000005
12,870,10.4,4.34,7.02,9.86,383,27,0.127,0.8240000000000001,0.313
7,902,10.1,4.74,8.42,8.91,480,38,0.146,0.765,0.429
13,1220,10.0,4.47,5.77,10.36,527,36,0.076,0.826,0.295
6,587,10.0,3.89,7.44,8.56,267,33,0.124,0.7829999999999999,0.327
7,333,10.0,2.54,10.04,6.71,126,12,0.198,0.742,0.39799999999999996
9,1674,9.9,4.31,5.71,9.38,770,57,0.09,0.843,0.387
15,579,9.9,3.21,9.83,7.21,258,27,0.209,0.7,0.435
5,529,9.9,3.85,8.57,8.41,242,13,0.161,0.7390000000000001,0.36
6,980,9.8,4.62,3.85,10.33,438,22,0.031,0.88,0.24
11,546,9.8,3.13,7.47,7.67,223,12,0.10099999999999999,0.75,0.17600000000000002
6,857,9.7,4.57,5.01,10.27,381,26,0.08900000000000001,0.8390000000000001,0.33799999999999997
6,688,9.7,3.7,6.67,8.56,297,34,0.132,0.82,0.313
7,569,9.7,3.9,9.28,8.65,257,23,0.165,0.7509999999999999,0.342
10,453,9.7,3.2,9.56,7.72,188,10,0.187,0.725,0.313
7,858,9.6,4.08,6.74,9.16,382,30,0.11599999999999999,0.82,0.384
3,263,9.6,2.96,11.35,6.77,115,13,0.22699999999999998,0.703,0.37
10,1012,9.5,4.45,8.23,8.74,515,36,0.11199999999999999,0.778,0.413
8,957,9.5,4.14,6.64,8.92,444,28,0.094,0.8079999999999999,0.32799999999999996
6,178,9.5,2.71,15.25,4.82,100,18,0.33399999999999996,0.627,0.503
6,283,9.5,2.71,12.26,7.17,107,5,0.254,0.6659999999999999,0.371
4,407,9.4,3.48,8.37,8.43,168,23,0.156,0.764,0.21899999999999997
8,798,9.3,4.9,8.71,9.0,434,40,0.151,0.7709999999999999,0.447
4,393,9.3,3.56,10.81,7.35,190,19,0.17800000000000002,0.703,0.415
9,502,9.3,3.02,8.57,7.94,191,23,0.166,0.737,0.315
6,576,9.3,4.35,9.58,8.5,295,29,0.162,0.7659999999999999,0.381
10,1142,9.2,4.57,6.66,8.98,582,33,0.084,0.835,0.38799999999999996
6,765,9.2,4.88,5.99,10.25,364,27,0.08199999999999999,0.8290000000000001,0.271
9,946,9.0,4.98,6.8,9.16,514,45,0.102,0.8,0.353
11,506,9.0,3.46,9.81,7.77,225,18,0.17,0.7559999999999999,0.308
8,455,9.0,3.2,9.2,7.86,185,15,0.16,0.7859999999999999,0.318
7,643,9.0,4.12,8.45,8.74,303,53,0.129,0.7859999999999999,0.303
12,565,8.9,2.98,9.41,7.16,235,59,0.152,0.767,0.33299999999999996
5,230,8.9,2.74,9.94,6.57,96,13,0.239,0.705,0.40399999999999997
14,458,8.8,2.59,9.41,6.77,175,50,0.18899999999999997,0.746,0.41200000000000003
10,503,8.8,3.15,9.05,7.33,216,18,0.17600000000000002,0.6859999999999999,0.309
8,464,8.8,3.42,8.45,8.53,186,16,0.14300000000000002,0.78,0.299
5,296,8.8,3.82,11.69,6.42,176,23,0.213,0.7120000000000001,0.45899999999999996
4,766,8.7,4.16,6.99,8.6,370,43,0.078,0.792,0.27699999999999997
8,938,8.7,4.26,7.25,8.49,471,35,0.102,0.8440000000000001,0.439
9,769,8.7,4.71,8.35,9.61,377,22,0.13,0.805,0.337
7,644,8.7,3.78,8.33,8.63,282,9,0.166,0.785,0.348
5,463,8.7,3.94,8.63,8.17,223,32,0.16399999999999998,0.763,0.313
4,346,8.7,3.09,10.02,6.81,157,23,0.18899999999999997,0.765,0.36
15,625,8.6,3.16,9.86,6.45,306,32,0.171,0.728,0.557
8,922,8.6,4.5,7.74,9.56,434,24,0.125,0.769,0.379
12,533,8.6,3.44,10.46,7.67,239,35,0.171,0.733,0.33899999999999997
8,424,8.6,2.86,9.02,7.59,160,16,0.15,0.743,0.22899999999999998
7,694,8.6,4.49,7.53,9.47,329,24,0.14,0.809,0.36
4,631,8.6,4.27,6.93,9.2,293,8,0.092,0.8170000000000001,0.365
8,793,8.5,4.3,8.67,9.17,372,34,0.155,0.7929999999999999,0.32799999999999996
5,435,8.5,3.38,8.7,7.61,193,35,0.133,0.762,0.163
8,721,8.4,4.45,8.2,8.21,391,45,0.09699999999999999,0.797,0.442
8,682,8.4,4.56,9.67,8.68,358,41,0.188,0.7440000000000001,0.405
6,392,8.4,3.41,10.32,6.74,198,33,0.193,0.7170000000000001,0.36
4,494,8.4,3.66,6.78,8.75,207,3,0.115,0.826,0.40700000000000003
10,1324,8.3,4.56,5.43,9.28,650,75,0.054000000000000006,0.83,0.265
6,761,8.2,3.72,6.03,8.93,317,16,0.077,0.823,0.363
8,704,8.2,4.21,5.49,9.48,313,9,0.061,0.831,0.32299999999999995
6,566,8.2,3.33,7.45,8.5,222,15,0.135,0.7809999999999999,0.318
10,435,8.2,2.84,9.68,6.48,191,11,0.17800000000000002,0.695,0.43799999999999994
7,585,8.2,4.43,7.83,8.58,302,21,0.122,0.784,0.44299999999999995
5,510,8.2,4.16,5.59,9.34,227,11,0.079,0.83,0.424
5,254,8.2,2.61,10.94,6.91,96,16,0.223,0.715,0.318
12,858,8.1,3.66,7.56,8.73,360,25,0.13699999999999998,0.765,0.293
5,845,8.1,4.31,4.75,10.03,363,15,0.075,0.865,0.287
4,540,8.1,3.96,7.76,8.48,252,9,0.139,0.8009999999999999,0.361
12,500,8.1,3.71,9.64,7.86,236,16,0.19399999999999998,0.787,0.428
7,343,8.1,3.42,10.57,8.15,144,28,0.223,0.765,0.312
8,1452,8.0,4.33,5.07,10.0,629,29,0.059000000000000004,0.853,0.34600000000000003
6,997,8.0,4.28,4.77,9.64,443,28,0.047,0.855,0.32899999999999996
5,659,7.9,3.8,8.24,8.38,299,30,0.133,0.789,0.41200000000000003
6,740,7.9,5.02,9.52,8.99,413,24,0.154,0.7809999999999999,0.384
5,637,7.9,4.25,6.75,9.05,299,22,0.079,0.805,0.28300000000000003
13,537,7.8,3.14,9.85,7.32,230,12,0.16899999999999998,0.73,0.366
7,296,7.8,3.17,11.59,6.94,135,10,0.262,0.72,0.46299999999999997
8,304,7.8,3.36,12.12,7.52,136,22,0.19899999999999998,0.728,0.342
11,1398,7.7,4.51,5.77,9.79,644,40,0.07,0.8390000000000001,0.266
7,878,7.7,4.06,6.28,8.94,399,36,0.08800000000000001,0.8320000000000001,0.40299999999999997
7,765,7.7,4.62,6.73,10.4,340,22,0.136,0.851,0.46799999999999997
3,316,7.7,3.87,8.84,9.13,134,7,0.177,0.7340000000000001,0.374
9,1378,7.6,4.67,5.53,9.98,644,27,0.068,0.8490000000000001,0.34299999999999997
11,619,7.6,3.62,9.06,7.76,289,41,0.14800000000000002,0.777,0.373
13,902,7.5,4.0,6.23,9.08,397,28,0.11199999999999999,0.835,0.364
10,757,7.5,4.29,7.98,9.01,360,23,0.124,0.7709999999999999,0.366
7,864,7.5,4.15,7.25,9.09,395,21,0.11900000000000001,0.8140000000000001,0.336
6,587,7.5,4.92,6.42,9.95,290,30,0.084,0.812,0.33899999999999997
12,1448,7.4,5.1,6.93,9.83,752,61,0.099,0.8140000000000001,0.34299999999999997
13,760,7.4,4.15,9.38,8.17,386,58,0.12300000000000001,0.772,0.451
9,755,7.4,4.21,7.45,8.73,364,20,0.099,0.821,0.38
9,643,7.4,3.9,7.24,9.35,268,22,0.13,0.815,0.389
7,730,7.3,4.27,7.42,9.18,339,31,0.11699999999999999,0.805,0.36200000000000004
8,706,7.3,4.93,9.73,8.75,398,32,0.157,0.7659999999999999,0.42700000000000005
7,516,7.3,4.41,8.23,8.92,255,23,0.135,0.7979999999999999,0.35
13,667,7.2,3.74,9.27,7.8,320,41,0.122,0.742,0.289
8,282,7.2,2.86,9.95,7.02,115,10,0.18899999999999997,0.75,0.379
14,1059,7.1,4.4,8.18,9.2,506,26,0.139,0.8059999999999999,0.369
8,638,7.1,4.24,7.88,8.66,312,24,0.147,0.765,0.389
8,458,7.1,3.21,8.94,8.02,183,16,0.163,0.75,0.32299999999999995
9,913,7.0,4.25,7.64,8.54,455,42,0.121,0.797,0.40299999999999997
10,798,7.0,3.96,7.2,7.83,404,18,0.092,0.797,0.5479999999999999
12,1028,7.0,4.6,6.77,9.8,483,21,0.11900000000000001,0.8079999999999999,0.4
7,250,7.0,2.18,9.43,6.64,82,4,0.188,0.762,0.374
4,525,6.9,3.89,7.72,8.63,237,22,0.11,0.7829999999999999,0.3
15,653,6.8,3.14,7.86,7.71,266,40,0.131,0.8109999999999999,0.264
12,787,6.8,3.76,7.66,8.07,367,5,0.154,0.7859999999999999,0.46399999999999997
7,863,6.8,4.63,5.01,10.12,395,22,0.05,0.86,0.325
7,811,6.8,4.52,8.2,8.85,414,37,0.135,0.794,0.396
8,622,6.8,4.09,8.24,9.46,269,14,0.134,0.8190000000000001,0.395
10,540,6.8,3.81,8.85,8.75,235,25,0.133,0.763,0.33
8,375,6.8,3.14,11.51,7.28,162,10,0.20600000000000002,0.715,0.455
11,1160,6.7,4.77,6.21,9.78,566,25,0.131,0.8240000000000001,0.4
10,625,6.7,3.8,8.78,8.24,288,32,0.135,0.826,0.35700000000000004
10,481,6.7,3.59,10.79,7.82,221,14,0.198,0.711,0.392
8,355,6.7,2.88,8.97,6.87,149,9,0.171,0.759,0.466
5,523,6.6,4.08,6.76,8.65,247,24,0.10099999999999999,0.8270000000000001,0.377
7,439,6.6,3.48,9.24,7.99,191,19,0.18100000000000002,0.7759999999999999,0.35100000000000003
5,414,6.6,3.84,10.02,7.61,209,20,0.149,0.718,0.47200000000000003
7,376,6.6,2.86,7.68,7.91,136,19,0.142,0.81,0.36200000000000004
8,345,6.6,3.32,9.48,6.58,174,6,0.146,0.7759999999999999,0.42700000000000005
6,334,6.6,4.0,11.34,7.34,182,9,0.19899999999999998,0.72,0.344
10,484,6.5,3.34,7.98,8.13,199,19,0.128,0.7490000000000001,0.322
10,425,6.5,3.08,8.92,7.2,182,4,0.18,0.728,0.436
8,459,6.5,3.92,8.97,8.58,210,20,0.136,0.809,0.298
10,360,6.4,3.2,9.86,6.41,180,37,0.153,0.691,0.272
8,384,6.4,3.46,11.4,7.31,182,30,0.218,0.67,0.4
10,476,6.4,3.87,10.43,8.11,227,22,0.168,0.746,0.419
7,483,6.4,4.79,9.23,9.65,240,14,0.159,0.785,0.363
11,733,6.3,3.94,7.88,8.59,336,39,0.106,0.7959999999999999,0.26
6,926,6.3,4.29,5.15,9.65,412,35,0.051,0.846,0.242
9,830,6.3,4.39,7.4,9.15,398,29,0.08900000000000001,0.7909999999999999,0.40399999999999997
8,652,6.3,4.16,7.11,8.57,317,37,0.084,0.812,0.27399999999999997
8,736,6.3,4.09,6.71,9.93,303,26,0.096,0.8759999999999999,0.321
2,402,6.3,4.14,6.16,10.27,162,12,0.11900000000000001,0.875,0.327
9,353,6.3,2.94,9.69,7.56,137,9,0.198,0.74,0.293
7,311,6.3,3.12,9.82,7.95,122,12,0.153,0.7859999999999999,0.33799999999999997
2,425,6.3,4.18,4.64,9.76,182,12,0.09,0.871,0.292
3,313,6.3,3.81,7.77,7.9,151,13,0.162,0.7759999999999999,0.478
7,428,6.3,3.53,9.2,8.4,180,9,0.183,0.773,0.43
