id,g,war,era,k/9,cg,sv
2036,33,7.2,1.83,8.85,3,0
815,33,7.1,2.48,8.43,10,0
5705,34,7.1,2.62,10.51,2,0
1636,32,7.1,2.4,9.21,6,0
755,33,7.1,2.87,9.25,3,0
349,36,7.1,2.48,7.94,2,0
4153,33,7.0,1.77,9.28,4,0
1303,36,7.0,3.25,6.9,9,0
104,35,7.0,2.18,6.68,9,0
60,30,7.0,2.28,12.3,5,0
60,35,7.0,3.24,10.86,10,1
397,33,7.0,2.96,6.04,10,0
1001098,37,7.0,3.16,6.31,24,0
1011348,32,7.0,3.2,11.32,6,0
1310,34,6.9,2.9,8.23,1,0
4772,34,6.9,2.49,8.18,2,0
8700,33,6.9,2.64,9.03,6,0
837,34,6.9,3.15,8.42,4,0
10954,32,6.9,2.43,11.25,0,0
11713,26,6.9,2.27,9.64,1,0
755,34,6.8,2.61,10.46,1,0
1303,34,6.8,2.93,6.32,2,0
1004852,34,6.8,3.83,8.63,2,0
3,34,6.8,2.56,7.01,5,0
1303,32,6.8,2.79,7.83,9,0
2520,33,6.8,3.67,10.63,0,0
642,33,6.8,2.58,8.45,5,0
815,34,6.8,3.63,9.53,6,0
1636,31,6.7,2.54,6.85,4,0
1303,34,6.7,2.78,7.54,9,0
1051,34,6.7,2.54,9.67,0,0
755,34,6.7,2.77,9.44,1,0
3184,32,6.7,2.45,9.19,3,0
1014174,34,6.7,2.84,6.96,14,0
8700,33,6.7,3.37,8.79,4,0
1005799,35,6.7,3.85,8.25,14,0
642,32,6.7,1.89,6.14,5,0
115,35,6.7,3.02,8.47,7,0
4772,34,6.7,2.27,8.36,6,0
571,36,6.6,3.49,7.82,2,0
1005333,33,6.6,3.24,8.05,5,0
1131,29,6.6,2.34,9.01,5,0
8700,34,6.6,2.52,12.2,1,0
4772,33,6.6,3.06,8.65,5,0
8700,34,6.5,2.4,8.96,4,0
1703,34,6.5,2.63,6.47,7,0
73,32,6.5,3.26,8.06,3,0
642,33,6.5,2.69,7.77,6,0
1692,33,6.5,3.1,6.82,5,0
3137,33,6.5,2.79,10.86,4,0
1680,34,6.5,3.29,9.32,5,0
3137,27,6.5,2.92,12.69,0,0
1013215,36,6.4,1.93,5.53,14,0
8700,34,6.4,2.58,12.11,2,0
1011138,35,6.4,2.4,5.82,14,0
404,34,6.4,3.21,7.8,4,0
1007323,35,6.4,3.84,8.67,14,0
1131,32,6.4,3.2,10.04,4,0
3137,31,6.4,2.51,12.02,2,0
1636,34,6.4,3.22,7.03,6,0
837,34,6.4,3.79,7.95,6,0
1011348,34,6.4,2.76,11.48,0,0
1013435,35,6.3,2.64,6.8,7,0
1292,33,6.3,2.83,7.93,7,0
642,35,6.3,3.32,5.86,11,0
76,33,6.3,3.2,6.69,12,0
104,34,6.3,3.05,6.68,3,0
11530,29,6.3,2.86,12.49,0,0
7450,32,6.3,3.52,7.98,1,0
1005115,36,6.3,3.04,6.11,8,0
3,32,6.3,3.62,8.82,5,0
1303,33,6.2,2.44,7.86,9,0
1013327,34,6.2,3.14,8.09,20,0
1005115,35,6.2,2.7,6.11,8,0
1011355,32,6.2,2.87,6.04,10,0
